Kanton;BFS Code;Gemeindename;PLZ;Ortsbezeichnung;Orts Bez Post;Jahr
VD;5909;Cheseaux-Noréaz;1400;Cheseaux-Noréaz;Noréaz;2014
VD;5709;Chéserex;1275;Chéserex;Chéserex;2014
VD;5409;Ollon;1885;Chesières;Chesières;2014
FR;2179;Chésopelloz;1720;Chésopelloz;Chésopelloz;2014
VD;5403;Chessel;1846;Chessel;Chessel;2014
JU;6809;Haute-Ajoie;2906;Chevenez;Chevenez;2014
VD;5476;Chevilly;1316;Chevilly;Chevilly;2014
VD;5813;Chevroux;1545;Chevroux;Chevroux;2014
VD;5601;Chexbres;1071;Chexbres;Chexbres;2014
FR;2010;Cheyres;1468;Cheyres;Cheyres;2014
NE;6487;Val-de-Ruz;2054;Chézard-St-Martin;Chézard;2014
NE;6410;Gorgier;2025;Chez-le-Bart;Chez-le-Bart;2014
TI;5250;Chiasso;6830;Chiasso;Chiasso;2014
TI;5072;Faido;6764;Chiggiogna;Chiggiogna;2014
VD;5628;Chigny;1134;Chigny;Chigny;2014
VS;6235;Chippis;3965;Chippis;Chippis;2014
TI;5072;Faido;6747;Chironico;Chironico;2014
VS;6153;Monthey;1871;Choëx;Choëx;2014
GE;6614;Choulex;1244;Choulex;Choulex;2014
GR;3901;Chur;7000;Chur;Chur;2014
GR;3911;Churwalden;7075;Churwalden;Churwalden;2014
TI;5151;Bioggio;6992;Cimo;Cimo;2014
GR;3788;S-chanf;7526;Cinuos-chel;Cinuos-chel;2014
VD;5886;Montreux;1815;Clarens;Planchamp;2014
VD;5629;Clarmont;1127;Clarmont;Clarmont;2014
TI;5282;Claro;6702;Claro;Scubiago;2014
BE;661;Clavaleyres;1595;Clavaleyres;Clavaleyres;2014
VS;6024;Nendaz;1993;Clèbes (Nendaz);Clèbes;2014
GR;3701;Andeer;7442;Clugin;Clugin;2014
JU;6781;Coeuve;2932;Coeuve;Coeuve;2014
NE;6487;Val-de-Ruz;2207;Coffrane;Coffrane;2014
TI;5317;Maggia;6678;Coglio;Coglio;2014
VD;5710;Coinsins;1267;Coinsins;Coinsins;2014
GE;6643;Vernier;1216;Cointrin;Cointrin;2014
TI;5251;Coldrerio;6877;Coldrerio;Coldrerio;2014
GE;6615;Collex-Bossy;1239;Collex;Collex;2014
VS;6152;Collombey-Muraz;1868;Collombey;Les Neyres;2014
GE;6616;Collonge-Bellerive;1245;Collonge-Bellerive;Collonge;2014
VS;6211;Collonges;1903;Collonges;Collonges;2014
GE;6617;Cologny;1223;Cologny;Frontenex;2014
NE;6416;Milvignes;2013;Colombier NE;Colombier;2014
VD;5634;Echichens;1114;Colombier VD;Colombier;2014
TI;5176;Comano;6949;Comano;Comano;2014
VD;5831;Valbroye;1535;Combremont-Grand;Combremont-le-Grand;2014
VD;5831;Valbroye;1536;Combremont-Petit;Combremont-le-Petit;2014
VD;5711;Commugny;1291;Commugny;Commugny;2014
TI;5136;Onsernone;6663;Comologno;Comologno;2014
