Kanton;BFS Code;Gemeindename;PLZ;Ortsbezeichnung;Orts Bez Post;Jahr
AG;4005;Erlinsbach (AG);5018;Erlinsbach;Erlinsbach;2014
SO;2503;Erlinsbach (SO);5015;Erlinsbach SO;Erlinsbach (SO);2014
TG;4646;Ermatingen;8272;Ermatingen;Stad;2014
LU;1025;Ermensee;6294;Ermensee;Ermensee;2014
SG;3342;Eschenbach (SG);8734;Ermenswil;Ermenswil;2014
SG;3341;Gommiswald;8725;Ernetschwil;Ernetschwil;2014
SO;2615;Erschwil;4228;Erschwil;Erschwil;2014
BE;405;Ersigen;3423;Ersigen;Ersigen;2014
UR;1206;Erstfeld;6472;Erstfeld;Erstfeld;2014
LU;1026;Eschenbach (LU);6274;Eschenbach LU;Eschenbach;2014
SG;3342;Eschenbach (SG);8733;Eschenbach SG;Eschenbach;2014
TG;4806;Eschenz;8264;Eschenz;Eschenz;2014
BE;692;Eschert;2743;Eschert;Eschert;2014
TG;4590;Hüttlingen;8553;Eschikofen;Eschikofen;2014
TG;4724;Eschlikon;8360;Eschlikon TG;Eschlikon;2014
LU;1010;Escholzmatt-Marbach;6182;Escholzmatt;Escholzmatt;2014
VD;5788;Essertes;1078;Essertes;Essertes;2014
VD;5856;Essertines-sur-Rolle;1186;Essertines-Rolle;Essertines-sur-Rolle;2014
VD;5915;Essert-Pittet;1435;Essert-Pittet;Essert-Pittet;2014
ZH;192;Egg;8133;Esslingen;Esslingen;2014
FR;2162;Bas-Intyamon;1665;Estavannens;Estavannens;2014
FR;2223;Le Glèbe;1695;Estavayer-Gibloux;Estavayer-le-Gibloux;2014
FR;2113;Vuisternens-dev-Romont;1687;Estévenens;Estévenens;2014
VD;5521;Etagnières;1037;Etagnières;Etagnières;2014
VD;5636;Etoy;1163;Etoy;Etoy;2014
TG;4551;Aadorf;8356;Ettenhausen TG;Ettenhausen;2014
BL;2768;Ettingen;4107;Ettingen;Ettingen;2014
LU;1128;Ettiswil;6218;Ettiswil;Ettiswil;2014
BE;538;Fraubrunnen;3306;Etzelkofen;Etzelkofen;2014
AG;4184;Mettauertal;5275;Etzgen;Etzgen;2014
SO;2518;Etziken;4554;Etziken;Etziken;2014
TG;4871;Wagenhausen;8259;Etzwilen;Etzwilen;2014
VS;6084;Hérémence;1982;Euseigne;Euseigne;2014
SZ;1301;Einsiedeln;8844;Euthal;Euthal;2014
BE;372;Evilard;2533;Evilard;Evilard;2014
VS;6213;Evionnaz;1902;Evionnaz;Evionnaz;2014
VS;6083;Evolène;1983;Evolène;Evolène;2014
VS;6297;Visp;3930;Eyholz;Eyholz;2014
VD;5716;Eysins;1262;Eysins;Eysins;2014
BE;925;Fahrni;3617;Fahrni b. Thun;Fahrni;2014
AG;4196;Fahrwangen;5615;Fahrwangen;Fahrwangen;2014
ZH;249;Unterengstringen;8951;Fahrweid;Fahrweid;2014
JU;6789;Fahy;2916;Fahy;Fahy;2014
GR;3962;Schiers;7226;Fajauna;Fajauna;2014
GR;3572;Falera;7153;Falera;Falera;2014
ZH;193;Fällanden;8117;Fällanden;Fällanden;2014
GR;3961;Grüsch;7215;Fanas;Fanas;2014
BE;908;Trub;3557;Fankhaus (Trub);Fankhaus (Trub);2014
BE;975;Farnern;4539;Farnern;Farnern;2014
FR;2192;Farvagny;1726;Farvagny;Farvagny;2014
BE;768;Spiez;3705;Faulensee;Faulensee;2014
VD;5427;Féchy;1173;Féchy;Féchy;2014
ZH;172;Fehraltorf;8320;Fehraltorf;Fehraltorf;2014
SO;2616;Fehren;4232;Fehren;Fehren;2014
TG;4561;Felben-Wellhausen;8552;Felben-Wellhausen;Felben;2014
ZH;153;Hombrechtikon;8714;Feldbach;Feldbach;2014
SO;2544;Feldbrunnen-St. Niklaus;4532;Feldbrunnen;St. Niklaus;2014
GR;3671;Tomils;7404;Feldis/Veulden;Feldis/Veulden;2014
GR;3731;Felsberg;7012;Felsberg;Felsberg;2014
AG;4313;Leuggern;5316;Felsenau AG;Felsenau;2014
VD;5884;Corsier-sur-Vevey;1809;Fenil-sur-Corsier;Fenil-sur-Corsier;2014
VS;6195;Ferden;3916;Ferden;Ferden;2014
VD;5789;Ferlens (VD);1076;Ferlens VD;Ferlens;2014
VD;5483;Ferreyres;1313;Ferreyres;Ferreyres;2014
TI;5237;Alto Malcantone;6938;Fescoggia;Fescoggia;2014
FR;2016;Fétigny;1532;Fétigny;Fétigny;2014
ZH;27;Feuerthalen;8245;Feuerthalen;Feuerthalen;2014
SZ;1321;Feusisberg;8835;Feusisberg;Feusisberg;2014
BE;841;Gsteig;3784;Feutersoey;Feutersoey;2014
GR;3789;Sils im Engadin/Segl;7514;Fex;Fex;2014
VD;5522;Fey;1044;Fey;Fey;2014
GR;3732;Flims;7019;Fidaz;Fidaz;2014
GR;3861;Fideris;7235;Fideris;Fideris;2014
VS;6057;Fiesch;3984;Fiesch;Fiesch;2014
VD;5556;Fiez;1420;Fiez;Fiez;2014
TI;5192;Lugano;6918;Figino;Figino;2014
GR;3522;Filisur;7477;Filisur;Filisur;2014
GL;1630;Glarus Nord;8757;Filzbach;Filzbach;2014
VS;6214;Finhaut;1925;Finhaut;Finhaut;2014
BE;493;Finsterhennen;2577;Finsterhennen;Finsterhennen;2014
VS;6031;Bagnes;1948;Fionnay;Fionnay;2014
LU;1129;Fischbach;6145;Fischbach LU;Fischbach;2014
AG;4067;Fischbach-Göslikon;5525;Fischbach-Göslikon;Fischbach;2014
ZH;114;Fischenthal;8497;Fischenthal;Fischenthal;2014
AG;4306;Fisibach;5467;Fisibach;Fisibach;2014
AG;4027;Fislisbach;5442;Fislisbach;Fislisbach;2014
ZH;28;Flaach;8416;Flaach;Flaach;2014
FR;2309;Wünnewil-Flamatt;3175;Flamatt;Flamatt;2014
VS;6240;Lens;3978;Flanthey;Flanthey;2014
GR;3951;Fläsch;7306;Fläsch;Fläsch;2014
SG;3402;Flawil;9230;Flawil;Flawil;2014
VD;5843;Rougemont;1659;Flendruz;Flendruz;2014
GR;3662;Flerden;7426;Flerden;Flerden;2014
NE;6512;Val-de-Travers;2114;Fleurier;Fleurier;2014
GR;3732;Flims;7017;Flims Dorf;Flims;2014
GR;3732;Flims;7018;Flims Waldhaus;Flims Waldhaus;2014
GR;3617;Mundaun;7137;Flond;Flond;2014
UR;1207;Flüelen;6454;Flüelen;Flüelen;2014
OW;1406;Sachseln;6073;Flüeli-Ranft;Flüeli-Ranft;2014
LU;1004;Flühli;6173;Flühli LU;Flühli;2014
SO;2545;Flumenthal;4534;Flumenthal;Flumenthal;2014
SG;3292;Flums;8890;Flums;Flums;2014
SG;3292;Flums;8893;Flums Hochwiese;Hochwiese;2014
SG;3292;Flums;8896;Flumserberg Bergh;Grossberg;2014
SG;3292;Flums;8895;Flumserberg Portel;Portels;2014
SG;3292;Flums;8894;Flumserberg Saxli;Saxli;2014
SG;3292;Flums;8898;Flumserberg Tboden;Tannenbodenalp;2014
SG;3292;Flums;8897;Flumserberg Theim;Tannenheim;2014
ZH;29;Flurlingen;8247;Flurlingen;Flurlingen;2014
NE;6487;Val-de-Ruz;2052;Fontainemelon;Fontainemelon;2014
NE;6487;Val-de-Ruz;2046;Fontaines NE;Landeyeux;2014
VD;5557;Fontaines-sur-Grandson;1421;Fontaines-Grandson;Fontaines-sur-Grandson;2014
VD;5571;Tévenon;1423;Fontanezier;Fontanezier;2014
LU;1107;Wolhusen;6110;Fontannen;Fontannen bei Wolhusen;2014
JU;6790;Fontenais;2902;Fontenais;Fontenais;2014
SG;3276;Wartau;9476;Fontnas;Fontnas;2014
ZH;195;Maur;8127;Forch;Forch;2014
VD;5604;Forel (Lavaux);1072;Forel (Lavaux);Cornes de Cerf;2014
BE;684;Châtelat;2717;Fornet-Dessous;Fornet-Dessous;2014
JU;6750;Lajoux (JU);2718;Fornet-Dessus;Fornet-Dessus;2014
BE;948;Forst-Längenbühl;3636;Forst;Forst bei Längenbühl;2014
VD;5717;Founex;1297;Founex;Founex;2014
FR;2258;Fräschels;3284;Fräschels;Fräschels;2014
TI;5105;Frasco;6636;Frasco;Frasco;2014
FR;2050;Les Montets;1483;Frasses;Frasses;2014
BE;538;Fraubrunnen;3312;Fraubrunnen;Fraubrunnen;2014
TG;4566;Frauenfeld;8500;Frauenfeld;Frauenfeld;2014
BE;668;Mühleberg;3202;Frauenkappelen;Heggidorn;2014
JU;6810;La Baroche;2953;Fregiécourt;Fregiécourt;2014
TG;4431;Roggwil (TG);9306;Freidorf TG;Freidorf;2014
SZ;1322;Freienbach;8807;Freienbach;Freienbach;2014
ZH;57;Freienstein-Teufen;8427;Freienstein;Freienstein;2014
AG;4028;Freienwil;5423;Freienwil;Freienwil;2014
BE;607;Freimettigen;3510;Freimettigen;Freimettigen;2014
BL;2824;Frenkendorf;4402;Frenkendorf;Frenkendorf;2014
NE;6409;Fresens;2027;Fresens;Fresens;2014
ZH;198;Uster;8615;Freudwil;Freudwil;2014
FR;2196;Fribourg;1700;Fribourg;Fribourg;2014
AG;4163;Frick;5070;Frick;Frick;2014
BE;312;Seedorf (BE);3035;Frieswil;Frieswil;2014
TG;4921;Bussnang;9504;Friltschen;Friltschen;2014
BE;449;Sauge;2535;Frinvillier;Frinvillier;2014
VD;5523;Froideville;1055;Froideville;Froideville;2014
SG;3274;Sennwald;9467;Frümsen;Frümsen;2014
TG;4851;Salenstein;8269;Fruthwilen;Fruthwilen;2014
BE;563;Frutigen;3714;Frutigen;Frutigen;2014
GR;3761;Ftan;7551;Ftan;Ftan;2014
GR;3847;Val Müstair;7533;Fuldera;Fuldera;2014
SO;2575;Fulenbach;4629;Fulenbach;Fulenbach;2014
BL;2825;Füllinsdorf;4414;Füllinsdorf;Füllinsdorf;2014
AG;4307;Full-Reuenthal;5324;Full-Reuenthal;Reuenthal;2014
VS;6133;Fully;1926;Fully;Fully;2014
GR;3862;Furna;7232;Furna;Furna;2014
GR;3633;Fürstenau;7414;Fürstenau;Fürstenau;2014
GR;3633;Fürstenau;7413;Fürstenaubruck;Fürstenaubruck;2014
TI;5323;Lavizzara;6696;Fusio;Fusio;2014
VS;6009;Simplon;3907;Gabi (Simplon);Gabi (Simplon);2014
SH;2901;Gächlingen;8214;Gächlingen;Gächlingen;2014
SO;2456;Lüterswil-Gächliwil;4584;Gächliwil;Gächliwil;2014
TG;4571;Gachnang;8547;Gachnang;Gachnang;2014
GR;3891;Luzein;7244;Gadenstätt;Gadenstätt;2014
BE;784;Innertkirchen;3863;Gadmen;Gadmen;2014
SG;3392;Kirchberg (SG);9534;Gähwil;Gähwil;2014
AR;3022;Gais;9056;Gais;Gais;2014
SZ;1342;Galgenen;8854;Galgenen;Galgenen;2014
FR;2259;Galmiz;3285;Galmiz;Galmiz;2014
BE;494;Gals;3238;Gals;Gals;2014
VS;6118;Gampel-Bratsch;3945;Gampel;Gampel;2014
BE;495;Gampelen;3236;Gampelen;Witzwil;2014
SG;3272;Gams;9473;Gams;Gams;2014
TI;5192;Lugano;6978;Gandria;Gandria;2014
SO;2423;Gänsbrunnen;4716;Gänsbrunnen;Gänsbrunnen;2014
AG;4164;Gansingen;5272;Gansingen;Gansingen;2014
SG;3395;Bütschwil-Ganterschwil;9608;Ganterschwil;Ganterschwil;2014
BE;355;Köniz;3144;Gasel;Gasel;2014
VS;6292;St. Niklaus;3924;Gasenried;Gasenried;2014
ZH;141;Thalwil;8136;Gattikon;Gattikon;2014
AG;4029;Gebenstorf;5412;Gebenstorf;Gebenstorf;2014
LU;1136;Menznau;6123;Geiss;Geiss;2014
LU;1030;Hitzkirch;6284;Gelfingen;Gelfingen;2014
BE;865;Gelterfingen;3126;Gelterfingen;Gelterfingen;2014
BL;2846;Gelterkinden;4460;Gelterkinden;Gelterkinden;2014
SO;2474;Gempen;4145;Gempen;Gempen;2014
TI;5254;Mendrisio;6852;Genestrerio;Genestrerio;2014
GE;6621;Genève;1200;Genève;Genève;2014
NE;6487;Val-de-Ruz;2206;Geneveys-Coffrane;Mont-Racine;2014
VD;5718;Genolier;1272;Genolier;Genolier;2014
GE;6622;Genthod;1294;Genthod;Genthod;2014
TI;5236;Collina d'Oro;6925;Gentilino;Gentilino;2014
SO;2519;Gerlafingen;4563;Gerlafingen;Gerlafingen;2014
ZH;244;Geroldswil;8954;Geroldswil;Geroldswil;2014
BE;751;Täuffelen;2575;Gerolfingen;Gerolfingen;2014
TI;5398;Gambarogno;6576;Gerra (Gambarogno);Gerra (Gambarogno);2014
TI;5138;Cugnasco-Gerra;6635;Gerra (Verzasca);Gerra (Verzasca);2014
SZ;1311;Gersau;6442;Gersau;Gersau;2014
BE;866;Gerzensee;3115;Gerzensee;Gerzensee;2014
VS;6074;Münster-Geschinen;3985;Geschinen;Geschinen;2014
LU;1130;Gettnau;6142;Gettnau;Gettnau;2014
LU;1085;Geuensee;6232;Geuensee;Geuensee;2014
ZH;114;Fischenthal;8498;Gibswil;Gibswil-Ried;2014
BL;2826;Giebenach;4304;Giebenach;Giebenach;2014
VD;5559;Giez;1429;Giez;Giez;2014
FR;2294;Giffers;1735;Giffers;Giffers;2014
VD;5857;Gilly;1182;Gilly;Gilly;2014
VD;5428;Gimel;1188;Gimel;Gimel;2014
BE;584;Lauterbrunnen;3826;Gimmelwald;Gimmelwald;2014
VD;5719;Gingins;1276;Gingins;Gingins;2014
TI;5073;Giornico;6745;Giornico;Giornico;2014
AG;4165;Gipf-Oberfrick;5073;Gipf-Oberfrick;Gipf;2014
LU;1055;Gisikon;6038;Gisikon;Gisikon;2014
OW;1403;Giswil;6074;Giswil;Giswil;2014
TI;5005;Giubiasco;6512;Giubiasco;Pedevilla;2014
FR;2197;Givisiez;1762;Givisiez;Givisiez;2014
VD;5720;Givrins;1271;Givrins;Givrins;2014
VD;5721;Gland;1196;Gland;Gland;2014
GL;1632;Glarus;8750;Glarus;Glarus;2014
AG;4279;Murgenthal;4856;Glashütten;Glashütten;2014
GR;3669;Tschappina;7428;Glaspass;Glas;2014
ZH;66;Opfikon;8152;Glattbrugg;Glattbrugg;2014
ZH;58;Glattfelden;8192;Glattfelden;Glattfelden;2014
FR;2022;Gletterens;1544;Gletterens;Gletterens;2014
VD;5886;Montreux;1823;Glion;Glion;2014
VS;6002;Brig-Glis;3902;Glis;Glis;2014
JU;6729;Haute-Sorne;2855;Glovelier;Glovelier;2014
VS;6075;Reckingen-Gluringen;3998;Gluringen;Gluringen;2014
TI;5006;Gnosca;6525;Gnosca;Gnosca;2014
ZH;191;Dübendorf;8044;Gockhausen;Gockhausen;2014
BE;902;Langnau im Emmental;3553;Gohl;Gohl;2014
BE;664;Golaten;3207;Golaten;Golaten;2014
SG;3213;Goldach;9403;Goldach;Goldach;2014
SZ;1362;Arth;6410;Goldau;Goldau;2014
SG;3342;Eschenbach (SG);8638;Goldingen;Goldingen;2014
BE;942;Thun;3624;Goldiwil (Thun);Goldiwil;2014
BE;590;Ringgenberg (BE);3805;Goldswil;Goldswil bei Interlaken;2014
TI;5397;Centovalli;6656;Golino;Golino;2014
VD;5484;Gollion;1124;Gollion;Gollion;2014
SG;3341;Gommiswald;8737;Gommiswald;Gommiswald;2014
BE;326;Gondiswil;4955;Gondiswil;Gondiswil;2014
AI;3102;Gonten;9108;Gonten;Gonten;2014
AG;4135;Gontenschwil;5728;Gontenschwil;Gontenschwil;2014
VS;6195;Ferden;3917;Goppenstein;Goppenstein;2014
TI;5324;Avegno Gordevio;6672;Gordevio;Gordevio;2014
TI;5108;Gordola;6596;Gordola;Gordemo;2014
TI;5007;Gorduno;6518;Gorduno;Gorduno;2014
NE;6410;Gorgier;2023;Gorgier;Gorgier;2014
UR;1208;Göschenen;6487;Göschenen;Göschenen;2014
SG;3443;Gossau (SG);9200;Gossau SG;Gossau;2014
ZH;115;Gossau (ZH);8625;Gossau ZH;Gossau;2014
SO;2465;Buchegg;4579;Gossliwil;Gossliwil;2014
TG;4651;Gottlieben;8274;Gottlieben;Gottlieben;2014
JU;6757;Saignelégier;2354;Goumois;Vautenaivre;2014
SG;3273;Grabs;9472;Grabs;Grabs;2014
VS;6285;Grächen;3925;Grächen;Grächen;2014
NW;1511;Wolfenschiessen;6388;Grafenort;Grafenort;2014
BE;538;Fraubrunnen;3308;Grafenried;Grafenried;2014
ZH;176;Lindau;8310;Grafstal;Grafstal;2014
TI;5186;Grancia;6916;Grancia;Grancia;2014
VD;5485;Grancy;1117;Grancy;Grancy;2014
VD;5817;Grandcour;1543;Grandcour;Ressudens;2014
JU;6792;Grandfontaine;2908;Grandfontaine;Grandfontaine;2014
GE;6628;Lancy;1212;Grand-Lancy;Grand-Lancy;2014
FR;2029;Montagny (FR);1775;Grandsivaz;Grandsivaz;2014
VD;5561;Grandson;1422;Grandson;Grandson;2014
BE;694;Grandval;2745;Grandval;Grandval;2014
FR;2134;Grandvillard;1666;Grandvillard;Grandvillard;2014
VS;6218;Salvan;1922;Granges (Salvan);Les Granges;2014
FR;2328;Granges (Veveyse);1614;Granges (Veveyse);Granges (Veveyse);2014
VS;6248;Sierre;3977;Granges VS;Granges;2014
VD;5831;Valbroye;1523;Granges-Marnand;Granges-près-Marnand;2014
FR;2198;Granges-Paccot;1763;Granges-Paccot;Granges-Paccot;2014
FR;2079;Grangettes;1686;Grangettes-Romont;Grangettes;2014
AG;4006;Gränichen;5722;Gränichen;Gränichen;2014
BE;988;Seeberg;3365;Grasswil;Grasswil;2014
FR;2338;La Verrerie;1624;Grattavache;Grattavache;2014
TI;5187;Gravesano;6929;Gravesano;Gravesano;2014
ZH;194;Greifensee;8606;Greifensee;Greifensee;2014
BL;2786;Grellingen;4203;Grellingen;Grellingen;2014
SO;2546;Grenchen;2540;Grenchen;Grenchen;2014
FR;2261;Greng;3280;Greng;Greng;2014
VS;6177;Grengiols;3993;Grengiols;Grengiols;2014
VD;5722;Grens;1274;Grens;Grens;2014
LU;1056;Greppen;6404;Greppen;Greppen;2014
SG;3276;Wartau;9479;Gretschins;Gretschins;2014
SO;2576;Gretzenbach;5014;Gretzenbach;Gretzenbach;2014
SO;2617;Grindel;4247;Grindel;Grindel;2014
BE;576;Grindelwald;3818;Grindelwald;Grindelwald;2014
FR;2200;Grolley;1772;Grolley;Grolley;2014
VS;6238;Grône;3979;Grône;Erdesson;2014
GR;3832;Grono;6537;Grono;Grono;2014
SZ;1301;Einsiedeln;8841;Gross;Gross;2014
LU;1131;Grossdietwil;6146;Grossdietwil;Grossdietwil;2014
BE;608;Grosshöchstetten;3506;Grosshöchstetten;Grosshöchstetten;2014
LU;1086;Grosswangen;6022;Grosswangen;Grosswangen;2014
AR;3031;Grub (AR);9035;Grub AR;Grub;2014
SG;3212;Eggersriet;9036;Grub SG;Grub;2014
VS;6112;Oberems;3946;Gruben;Gruben;2014
BE;843;Saanen;3783;Grund b. Gstaad;Grund bei Gstaad;2014
BE;957;Sumiswald;3455;Grünen;Grünen;2014
BE;955;Lützelflüh;3452;Grünenmatt;Grünenmatt;2014
ZH;116;Grüningen;8627;Grüningen;Grüningen;2014
GR;3961;Grüsch;7214;Grüsch;Grüsch;2014
ZH;115;Gossau (ZH);8624;Grüt (Gossau ZH);Grüt;2014
VD;5405;Gryon;1882;Gryon;Gryon;2014
BE;843;Saanen;3780;Gstaad;Oberbort;2014
BE;841;Gsteig;3785;Gsteig b. Gstaad;Gsteig bei Gstaad;2014
BE;577;Gsteigwiler;3814;Gsteigwiler;Gsteigwiler;2014
GR;3742;Guarda;7545;Guarda;Guarda;2014
TI;5008;Gudo;6515;Gudo;Gudo;2014
BE;852;Guggisberg;3158;Guggisberg;Guggisberg;2014
FR;2122;Pont-en-Ogoz;1643;Gumefens;Gumefens;2014
BE;356;Muri bei Bern;3073;Gümligen;Gümligen;2014
BE;668;Mühleberg;3205;Gümmenen;Mauss;2014
ZH;178;Russikon;8322;Gündisau;Gündisau;2014
BE;578;Gündlischwand;3815;Gündlischwand;Gündlischwand;2014
ZH;44;Waltalingen;8468;Guntalingen;Guntalingen;2014
BE;938;Sigriswil;3654;Gunten;Gunten;2014
TG;4551;Aadorf;8357;Guntershausen;Guntershausen bei Aadorf;2014
SH;2932;Beringen;8223;Guntmadingen;Guntmadingen;2014
SO;2578;Gunzgen;4617;Gunzgen;Gunzgen;2014
LU;1081;Beromünster;6222;Gunzwil;Gunzwil;2014
BE;665;Gurbrü;3208;Gurbrü;Gurbrü;2014
FR;2262;Gurmels;3212;Gurmels;Gurmels;2014
UR;1209;Gurtnellen;6482;Gurtnellen;Gurtnellen;2014
BE;867;Gurzelen;3663;Gurzelen;Gurzelen;2014
BE;332;Madiswil;4932;Gutenburg;Gutenburg;2014
ZH;199;Volketswil;8605;Gutenswil;Gutenswil;2014
BE;782;Guttannen;3864;Guttannen;Guttannen;2014
VS;6117;Guttet-Feschel;3956;Guttet-Feschel;Guttet;2014
TG;4656;Güttingen;8594;Güttingen;Güttingen;2014
BE;942;Thun;3645;Gwatt (Thun);Gwatt;2014
GE;6624;Gy;1251;Gy;Gy;2014
BE;612;Konolfingen;3503;Gysenstein;Herolfingen;2014
SG;3274;Sennwald;9469;Haag (Rheintal);Haag;2014
BE;579;Habkern;3804;Habkern;Habkern;2014
AG;4099;Habsburg;5245;Habsburg;Habsburg;2014
BL;2847;Häfelfingen;4445;Häfelfingen;Häfelfingen;2014
ZH;220;Hagenbuch;8523;Hagenbuch ZH;Egghof;2014
SO;2579;Hägendorf;4614;Hägendorf;Hägendorf;2014
ZG;1702;Cham;6332;Hagendorn;Hagendorn;2014
SG;3201;Häggenschwil;9312;Häggenschwil;Häggenschwil;2014
AG;4068;Hägglingen;5607;Hägglingen;Hägglingen;2014
TG;4471;Bischofszell;9223;Halden;Halden;2014
GR;3941;Haldenstein;7023;Haldenstein;Haldenstein;2014
UR;1205;Bürglen (UR);6469;Haldi b.Schattdorf;Haldi bei Schattdorf;2014
SH;2971;Hallau;8215;Hallau;Hallau;2014
AG;4197;Hallwil;5705;Hallwil;Hallwil;2014
SO;2520;Halten;4566;Halten;Halten;2014
LU;1030;Hitzkirch;6289;Hämikon;Hämikon;2014
SO;2402;Härkingen;4624;Härkingen;Härkingen;2014
BE;406;Hasle bei Burgdorf;3415;Hasle b. Burgdorf;Hasle bei Burgdorf;2014
LU;1005;Hasle (LU);6166;Hasle LU;Hasle;2014
AI;3104;Schlatt-Haslen;9054;Haslen AI;Haslen;2014
GL;1631;Glarus Süd;8773;Haslen GL;Haslen;2014
BE;783;Hasliberg;6085;Hasliberg Goldern;Hasliberg;2014
BE;783;Hasliberg;6083;Hasliberg Hohfluh;Hohfluh;2014
BE;783;Hasliberg;6086;Hasliberg Reuti;Käserstatt;2014
BE;783;Hasliberg;6084;Hasliberg Wasserw;Wasserwendi;2014
GL;1631;Glarus Süd;8775;Hätzingen;Hätzingen;2014
SO;2491;Hauenstein-Ifenthal;4633;Hauenstein;Hauenstein;2014
ZH;6;Kappel am Albis;8926;Hauptikon;Hauptikon;2014
TG;4486;Hauptwil-Gottshaus;9213;Hauptwil;Hauptwil;2014
AG;4100;Hausen (AG);5212;Hausen AG;Hausen (AG);2014
ZH;4;Hausen am Albis;8915;Hausen am Albis;Hausen am Albis;2014
BE;952;Dürrenroth;3463;Häusernmoos;Waltrigen;2014
VS;6024;Nendaz;1997;Haute-Nendaz;Haute-Nendaz;2014
NE;6454;Hauterive (NE);2068;Hauterive NE;Hauterive;2014
FR;2137;Hauteville;1648;Hauteville;Hauteville;2014
ZH;5;Hedingen;8908;Hedingen;Hedingen;2014
SG;3231;Au (SG);9435;Heerbrugg;Heerbrugg;2014
AR;3032;Heiden;9410;Heiden;Heiden;2014
BE;927;Heiligenschwendi;3625;Heiligenschwendi;Heiligenschwendi;2014
SG;3293;Mels;8888;Heiligkreuz (Mels);Heiligkreuz;2014
BE;928;Heimberg;3627;Heimberg;Heimberg;2014
BE;977;Heimenhausen;3373;Heimenhausen;Heimenhausen;2014
BE;923;Buchholterberg;3615;Heimenschwand;Heimenschwand;2014
BE;958;Trachselwald;3453;Heimisbach;Chramershus;2014
BE;407;Heimiswil;3412;Heimiswil;Heimiswil;2014
SO;2535;Drei Höfe;4558;Heinrichswil;Heinrichswil;2014
FR;2296;Heitenried;1714;Heitenried;Heitenried;2014
TG;4495;Hohentannen;9216;Heldswil;Heldswil;2014
BE;880;Rüeggisberg;3155;Helgisried;Helgisried;2014
LU;1093;Neuenkirch;6016;Hellbühl;Hellbühl;2014
AG;4251;Hellikon;4316;Hellikon;Hellikon;2014
BE;408;Hellsau;3429;Hellsau;Hellsau;2014
SH;2962;Hemishofen;8261;Hemishofen;Hemishofen;2014
SH;2939;Schaffhausen;8231;Hemmental;Hemmental;2014
BL;2848;Hemmiken;4465;Hemmiken;Hemmiken;2014
SG;3408;Uzwil;9247;Henau;Henau;2014
AG;4198;Hendschiken;5604;Hendschiken;Hendschiken;2014
ZH;31;Henggart;8444;Henggart;Henggart;2014
VD;5819;Henniez;1525;Henniez;Henniez;2014
SO;2424;Herbetswil;4715;Herbetswil;Herbetswil;2014
VS;6292;St. Niklaus;3927;Herbriggen;Herbriggen;2014
TG;4811;Herdern;8535;Herdern;Herdern;2014
VS;6084;Hérémence;1987;Hérémence;Prolin;2014
LU;1132;Hergiswil bei Willisau;6133;Hergiswil LU;Hergiswil bei Willisau;2014
NW;1507;Hergiswil (NW);6052;Hergiswil NW;Hergiswil;2014
AR;3001;Herisau;9100;Herisau;Herisau;2014
LU;1039;Römerswil;6028;Herlisberg;Herlisberg;2014
GE;6625;Hermance;1248;Hermance;Hermance;2014
ZH;177;Pfäffikon;8330;Hermatswil;Hermatswil;2014
VD;5673;Hermenches;1513;Hermenches;Hermenches;2014
AG;4063;Bremgarten (AG);5626;Hermetschwil-Staff;Hermetschwil-Staffeln;2014
BE;978;Hermiswil;3475;Hermiswil;Hermiswil;2014
BE;354;Kirchlindach;3037;Herrenschwanden;Herrenschwanden;2014
ZH;152;Herrliberg;8704;Herrliberg;Herrliberg;2014
BL;2827;Hersberg;4423;Hersberg;Hersberg;2014
AG;4038;Obersiggenthal;5415;Hertenstein AG;Hertenstein;2014
AG;4166;Herznach;5027;Herznach;Herznach;2014
BE;979;Herzogenbuchsee;3360;Herzogenbuchsee;Herzogenbuchsee;2014
SO;2465;Buchegg;4577;Hessigkofen;Hessigkofen;2014
AG;4313;Leuggern;5317;Hettenschwil;Hettenschwil;2014
BE;414;Krauchthal;3325;Hettiswil;Grauenstein;2014
ZH;221;Hettlingen;8442;Hettlingen;Hettlingen;2014
LU;1088;Hildisrieden;6024;Hildisrieden;Hildisrieden;2014
AG;4080;Villmergen;5613;Hilfikon;Hilfikon;2014
BE;929;Hilterfingen;3652;Hilterfingen;Hilterfingen;2014
SO;2618;Himmelried;4204;Himmelried;Himmelried;2014
BE;409;Hindelbank;3324;Hindelbank;Hindelbank;2014
SG;3251;Altstätten;9452;Hinterforst;Hinterforst;2014
BE;880;Rüeggisberg;3089;Hinterfultigen;Hinterfultigen;2014
BE;360;Wohlen bei Bern;3032;Hinterkappelen;Hinterkappelen;2014
LU;1147;Wikon;6260;Hintermoos;Hintermoos;2014
GR;3691;Hinterrhein;7438;Hinterrhein;Hinterrhein;2014
ZH;117;Hinwil;8340;Hinwil;Hinwil;2014
AG;4007;Hirschthal;5042;Hirschthal;Hirschthal;2014
ZH;132;Hirzel;8816;Hirzel;Hirzel;2014
ZH;173;Hittnau;8335;Hittnau;Hittnau;2014
LU;1030;Hitzkirch;6285;Hitzkirch;Hitzkirch;2014
LU;1031;Hochdorf;6280;Hochdorf;Hochdorf;2014
ZH;59;Hochfelden;8182;Hochfelden;Hochfelden;2014
SO;2475;Hochwald;4146;Hochwald;Hochwald;2014
BE;770;Stocken-Höfen;3631;Höfen b. Thun;Höfen;2014
