Objekt;Attribute;Selection;Berechtigung;Rolle
Projekt;titel;all;PUT;Sachbearbeiter
Projekt;archiviert;all;POST;Sachbearbeiter
Projekt;archiviert;all;GET;Sachbearbeiter
Projekt;archiviert;all;PUT;Sachbearbeiter
Sachbearbeiter;email;all;POST;Sachbearbeiter
Sachbearbeiter;email;all;GET;Sachbearbeiter
Sachbearbeiter;email;all;PUT;Sachbearbeiter
Sachbearbeiter;nachname;all;POST;Sachbearbeiter
Sachbearbeiter;nachname;all;GET;Sachbearbeiter
Sachbearbeiter;nachname;all;PUT;Sachbearbeiter
Sachbearbeiter;vorname;all;POST;Sachbearbeiter
Sachbearbeiter;vorname;all;GET;Sachbearbeiter
Sachbearbeiter;vorname;all;PUT;Sachbearbeiter
Subunternehmen;adresse;own;GET;Bauleiter
Subunternehmen;adresse;own;GET;Kontaktadmin
Subunternehmen;adresse;own;PUT;Kontaktadmin
Subunternehmen;adresse;own;GET;Kontaktperson
Subunternehmen;adresse;all;POST;Sachbearbeiter
Subunternehmen;adresse;all;GET;Sachbearbeiter
Subunternehmen;adresse;all;PUT;Sachbearbeiter
Subunternehmen;firmenname;own;GET;Bauleiter
Subunternehmen;firmenname;own;GET;Kontaktadmin
Subunternehmen;firmenname;own;PUT;Kontaktadmin
Subunternehmen;firmenname;own;GET;Kontaktperson
Subunternehmen;firmenname;all;POST;Sachbearbeiter
Subunternehmen;firmenname;all;GET;Sachbearbeiter
Subunternehmen;firmenname;all;PUT;Sachbearbeiter
Kommentar;kommentar;own;POST;Kontaktadmin
Kommentar;kommentar;own;GET;Kontaktadmin
Kommentar;login;own;POST;Kontaktadmin
Kommentar;login;own;GET;Kontaktadmin
Mangel;mangel;own;GET;Kontaktadmin
Mangel;frist;own;GET;Kontaktadmin
Mangel;projekt;own;GET;Kontaktadmin
Mangel;mangelstatus;own;GET;Kontaktadmin
Mangel;mangelstatus;own;PUT;Kontaktadmin
Mangel;kommentare;own;GET;Kontaktadmin
Mangel;kommentare;own;PUT;Kontaktadmin
Mangel;kommentare;own;POST;Kontaktadmin
Projektleitung;bauleiter;all;GET;Sachbearbeiter
Projektleitung;bauleiter;all;PUT;Sachbearbeiter
Projektleitung;bauleiter;all;POST;Sachbearbeiter
Projektleitung;bauleiter;own;GET;Bauleiter
Projektleitung;bauleiter;own;PUT;Bauleiter
Projektleitung;bauleiter;own;POST;Bauleiter
Projektleitung;bauleiter;own;GET;Kontaktadmin
Projektleitung;bauleiter;own;GET;Kontaktperson
